Study Phase ,Site ,Tran,Dist ,Rep or Extra,St Filter Wt (g) ,Date Placed,St Ziploc Wt (g) ,Date Removed ,Filter Area (cm2) ,Rubber Band Surface Area (cm2),Prop Filter Recovered (%)  ,"Post-Dry Mass  (Filter/Zip/Sed Total, g) ",Adjusted Filter Mass Recovered (g),Adjusted Filter Surface Area Recovered (cm2),"Sediment Mass               (Post-Dry Mass- Adjusted Filter Mass Recovered-Bag Mass, g)",Sediment Density (Sediment Mass/Adj Filter SA; g/cm2),Flux                        (# of Days Deployed) ,Flux-cm                (Sediment Density/Duration;  g/cm2 per day)  ,Flux-m                  (Sediment Density/Duration; g/m2 per day) 
M1,C,2,6,c,0.42168,7/10/2025,6.60603,8/7/2025,63.61725116,5.31,1,7.50454,0.42168,58.30725116,0.47683,0.008177885,28,0.000292067,2.920673247
M1,C,2,12,a ,0.433,7/10/2025,6.6974,8/7/2025,63.61725116,5.31,1,7.5755,0.433,58.30725116,0.4451,0.007633699,28,0.000272632,2.726321042
M1,C,2,12,b ,0.4218,7/10/2025,6.63743,8/7/2025,63.61725116,5.31,1,7.56386,0.4218,58.30725116,0.50463,0.00865467,28,0.000309095,3.090953465
M1,C,2,12,c,0.42931,7/10/2025,6.65113,8/7/2025,63.61725116,5.31,0.75,7.45535,0.3219825,42.40293837,0.4822375,0.011372738,28,0.000406169,4.061692071
M1,C,2,24,a ,0.42086,7/10/2025,6.62479,8/7/2025,63.61725116,5.31,1,8.30431,0.42086,58.30725116,1.25866,0.02158668,28,0.000770953,7.70952874
M1,C,2,24,b ,0.43197,7/10/2025,6.61759,8/7/2025,63.61725116,5.31,1,8.19711,0.43197,58.30725116,1.14755,0.019681086,28,0.000702896,7.028959136
M1,C,2,24,c,0.42454,7/10/2025,6.67019,8/7/2025,63.61725116,5.31,1,8.51288,0.42454,58.30725116,1.41815,0.024322018,28,0.000868643,8.686434925
M1,C,2,48,a ,0.42446,7/10/2025,6.55801,8/7/2025,63.61725116,5.31,1,7.84496,0.42446,58.30725116,0.86249,0.014792157,28,0.000528291,5.282913132
M1,C,2,48,b ,0.4316,7/10/2025,6.62896,8/7/2025,63.61725116,5.31,0? ,7.39917,#VALUE!,#VALUE!,#VALUE!,#VALUE!,28,#VALUE!,#VALUE!
M1,C,2,48,c,0.42411,7/10/2025,6.6049,8/7/2025,63.61725116,5.31,0.25,8.00951,0.1060275,10.59431279,1.2985825,0.122573547,28,0.004377627,43.7762669
M1,C,2,,E1 ,0.43121,NA,6.584,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,2,,E2 ,0.42387,NA,6.56527,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,2,,E3,0.43196,NA,6.62118,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,2,,E4 ,0.42092,NA,6.66982,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,S,1,0.5,a ,0.42259,7/11/2025,6.69368,8/8/2025,63.61725116,5.31,0.50?,9.60234,#VALUE!,#VALUE!,#VALUE!,#VALUE!,28,#VALUE!,#VALUE!
M1,S,1,0.5,b ,0.43188,7/11/2025,6.5922,8/8/2025,63.61725116,5.31,0,6.63112,0,-5.31,0.03892,-0.007329567,28,-0.00026177,-2.617702448
M1,S,1,0.5,c,0.42029,7/11/2025,6.69182,8/8/2025,63.61725116,5.31,0,6.74344,0,-5.31,0.05162,-0.009721281,28,-0.000347189,-3.47188593
M1,S,1,2,a ,0.43143,7/11/2025,6.66461,8/8/2025,63.61725116,5.31,1,8.25936,0.43143,58.30725116,1.16332,0.019951549,28,0.000712555,7.125553346
M1,S,1,2,b ,0.42475,7/11/2025,6.69217,8/8/2025,63.61725116,5.31,1,11.43052,0.42475,58.30725116,4.3136,0.073980507,28,0.002642161,26.42160963
M1,S,1,2,c,0.43084,7/11/2025,6.76469,8/8/2025,63.61725116,5.31,1,12.00837,0.43084,58.30725116,4.81284,0.082542735,28,0.002947955,29.47954833
M1,S,1,6,a ,0.42112,7/11/2025,6.66134,8/8/2025,63.61725116,5.31,1,7.96491,0.42112,58.30725116,0.88245,0.015134481,28,0.000540517,5.405171879
M1,S,1,6,b ,0.42265,7/11/2025,6.73906,8/8/2025,63.61725116,5.31,0.75,8.02794,0.3169875,42.40293837,0.9718925,0.022920405,28,0.000818586,8.185858755
M1,S,1,6,c,0.43171,7/11/2025,6.70606,8/8/2025,63.61725116,5.31,0.5,7.89528,0.215855,26.49862558,0.973365,0.03673266,28,0.001311881,13.11880709
M1,S,1,12,a ,0.42268,7/11/2025,6.65962,8/8/2025,63.61725116,5.31,1,7.53612,0.42268,58.30725116,0.45382,0.007783251,28,0.000277973,2.779732678
M1,S,1,12,b ,0.42976,7/11/2025,6.60218,8/8/2025,63.61725116,5.31,1,7.4416,0.42976,58.30725116,0.40966,0.007025884,28,0.000250924,2.50924439
M1,S,1,12,c,0.42284,7/11/2025,6.67324,8/8/2025,63.61725116,5.31,1,7.93103,0.42284,58.30725116,0.83495,0.014319831,28,0.000511423,5.114225463
M1,S,1,24,a ,0.43009,7/11/2025,6.66997,8/8/2025,63.61725116,5.31,1,7.58271,0.43009,58.30725116,0.48265,0.008277701,28,0.000295632,2.956321839
M1,S,1,24,b ,0.42661,7/11/2025,6.70902,8/8/2025,63.61725116,5.31,1,7.79008,0.42661,58.30725116,0.65445,0.011224161,28,0.000400863,4.008629085
M1,S,1,24,c,0.42205,7/11/2025,6.63184,8/8/2025,63.61725116,5.31,1,7.65047,0.42205,58.30725116,0.59658,0.010231661,28,0.000365416,3.654164473
M1,S,1,48,a ,0.43223,7/11/2025,6.64435,8/8/2025,63.61725116,5.31,1,7.39895,0.43223,58.30725116,0.32237,0.005528815,28,0.000197458,1.974576756
M1,S,1,48,b ,0.42085,7/11/2025,6.66659,8/8/2025,63.61725116,5.31,1,7.55851,0.42085,58.30725116,0.47107,0.008079098,28,0.000288539,2.885392166
M1,S,1,48,c,0.42093,7/11/2025,6.63701,8/8/2025,63.61725116,5.31,1,7.44076,0.42093,58.30725116,0.38282,0.006565564,28,0.000234484,2.344844352
M1,S,2,0.5,a ,0.43018,7/11/2025,6.58278,8/8/2025,63.61725116,5.31,0,7.35751,0,-5.31,0.77473,-0.145900188,28,-0.005210721,-52.10721012
M1,S,2,0.5,b ,0.43065,7/11/2025,6.65039,8/8/2025,63.61725116,5.31,0,6.72009,0,-5.31,0.0697,-0.013126177,28,-0.000468792,-4.687920366
M1,S,2,0.5,c,0.42488,7/11/2025,6.61504,8/8/2025,63.61725116,5.31,0,6.61219,0,-5.31,-0.00285,0.000536723,28,1.91687E-05,0.191686844
M1,S,2,2,a ,0.42538,7/11/2025,6.63755,8/8/2025,63.61725116,5.31,0.25,8.63551,0.106345,10.59431279,1.891615,0.178550043,28,0.006376787,63.76787236
M1,S,2,2,b ,0.4309,7/11/2025,6.64321,8/8/2025,63.61725116,5.31,0,6.73043,0,-5.31,0.08722,-0.016425612,28,-0.000586629,-5.866290019
M1,S,2,2,c,0.42568,7/11/2025,6.69031,8/8/2025,63.61725116,5.31,0.25,7.79505,0.10642,10.59431279,0.99832,0.09423169,28,0.003365418,33.65417505
M1,S,2,6,a ,0.4303,7/11/2025,6.67202,8/8/2025,63.61725116,5.31,0.25,6.9574,0.107575,10.59431279,0.177805,0.016783061,28,0.000599395,5.993950431
M1,S,2,6,b ,0.42574,7/11/2025,6.69708,8/8/2025,63.61725116,5.31,0.25?,7.07451,#VALUE!,#VALUE!,#VALUE!,#VALUE!,28,#VALUE!,#VALUE!
M1,S,2,6,c,0.43257,7/11/2025,6.75013,8/8/2025,63.61725116,5.31,0.25,7.12929,0.1081425,10.59431279,0.2710175,0.025581414,28,0.000913622,9.136219234
M1,S,2,12,a ,0.43089,7/11/2025,6.64001,8/8/2025,63.61725116,5.31,1,8.56826,0.43089,58.30725116,1.49736,0.025680511,28,0.000917161,9.171611042
M1,S,2,12,b ,0.42502,7/11/2025,6.70197,8/8/2025,63.61725116,5.31,1,8.72575,0.42502,58.30725116,1.59876,0.027419574,28,0.000979271,9.792705074
M1,S,2,12,c,0.43062,7/11/2025,6.68226,8/8/2025,63.61725116,5.31,1,8.42152,0.43062,58.30725116,1.30864,0.022443864,28,0.000801567,8.015665621
M1,S,2,24,a ,0.42515,7/11/2025,6.67848,8/8/2025,63.61725116,5.31,1,7.73333,0.42515,58.30725116,0.6297,0.010799686,28,0.000385703,3.857030689
M1,S,2,24,b ,0.42997,7/11/2025,6.66073,8/8/2025,63.61725116,5.31,1,7.59608,0.42997,58.30725116,0.50538,0.008667533,28,0.000309555,3.095547356
M1,S,2,24,c,0.42395,7/11/2025,6.69679,8/8/2025,63.61725116,5.31,1,7.49465,0.42395,58.30725116,0.37391,0.006412753,28,0.000229027,2.29026893
M1,S,2,48,a ,0.43221,7/11/2025,6.65768,8/8/2025,63.61725116,5.31,1,7.65118,0.43221,58.30725116,0.56129,0.009626418,28,0.000343801,3.438006599
M1,S,2,48,b ,0.42981,7/11/2025,6.6982,8/8/2025,63.61725116,5.31,1,7.70517,0.42981,58.30725116,0.57716,0.009898597,28,0.000353521,3.535213328
M1,S,2,48,c,0.4324,7/11/2025,6.63921,8/8/2025,63.61725116,5.31,1,7.57068,0.4324,58.30725116,0.49907,0.008559313,28,0.00030569,3.056897421
M1,S,2,,E1 ,0.43064,NA,6.60166,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,S,2,,E2 ,0.43111,NA,6.70792,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,S,2,,E3,0.4296,NA,6.61368,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,S,2,,E4 ,0.43261,NA,6.62528,NA,63.61725116,5.31,1,8.59109,0.43261,58.30725116,1.5332,0.026295186,#VALUE!,#VALUE!,#VALUE!
M2,B,1,0.5,a ,0.4486,8/5/2025,2.68238,9/3/2025,63.61725116,5.31,1,3.89629,0.4486,58.30725116,0.76531,0.013125469,29,0.000452602,4.526023689
M2,B,1,0.5,b ,0.45499,8/5/2025,2.7144,9/3/2025,63.61725116,5.31,1,3.58162,0.45499,58.30725116,0.41223,0.007069961,29,0.000243792,2.437917635
M2,B,1,0.5,c,0.44789,8/5/2025,2.69081,9/3/2025,63.61725116,5.31,1,3.6066,0.44789,58.30725116,0.4679,0.008024731,29,0.000276715,2.767148586
M2,B,1,2,a ,0.45427,8/5/2025,2.70777,9/3/2025,63.61725116,5.31,1,3.41641,0.45427,58.30725116,0.25437,0.004362579,29,0.000150434,1.504337649
M2,B,1,2,b ,0.4472,8/5/2025,2.74054,9/3/2025,63.61725116,5.31,1,3.40885,0.4472,58.30725116,0.22111,0.003792153,29,0.000130764,1.307638863
M2,B,1,2,c,0.45451,8/5/2025,2.70737,9/3/2025,63.61725116,5.31,1,3.35248,0.45451,58.30725116,0.1906,0.00326889,29,0.00011272,1.127203506
M2,B,1,6,a ,0.45053,8/5/2025,2.69107,9/3/2025,63.61725116,5.31,1,4.026,0.45053,58.30725116,0.8844,0.015167925,29,0.000523032,5.230318891
M2,B,1,6,b ,0.44415,8/5/2025,2.67379,9/3/2025,63.61725116,5.31,1,3.86639,0.44415,58.30725116,0.74845,0.012836311,29,0.000442631,4.426314082
M2,B,1,6,c,0.44994,8/5/2025,2.70097,9/3/2025,63.61725116,5.31,1,3.92245,0.44994,58.30725116,0.77154,0.013232316,29,0.000456287,4.562867749
M2,B,1,12,a ,0.4452,8/5/2025,2.67735,9/3/2025,63.61725116,5.31,1,3.32483,0.4452,58.30725116,0.20228,0.003469208,29,0.000119628,1.196278726
M2,B,1,12,b ,0.45279,8/5/2025,2.73928,9/3/2025,63.61725116,5.31,1,3.4426,0.45279,58.30725116,0.25053,0.004296721,29,0.000148163,1.481627987
M2,B,1,12,c,0.44457,8/5/2025,2.68487,9/3/2025,63.61725116,5.31,1,3.46145,0.44457,58.30725116,0.33201,0.005694146,29,0.00019635,1.963498615
M2,B,1,18,a ,0.45063,8/5/2025,2.66039,9/3/2025,63.61725116,5.31,1,3.6688,0.45063,58.30725116,0.55778,0.00956622,29,0.00032987,3.298696598
M2,B,1,18,b ,0.45603,8/5/2025,2.69179,9/3/2025,63.61725116,5.31,1,3.62071,0.45603,58.30725116,0.47289,0.008110312,29,0.000279666,2.796659318
M2,B,1,18,c ,0.44945,8/5/2025,2.68474,9/3/2025,63.61725116,5.31,1,3.56958,0.44945,58.30725116,0.43539,0.007467167,29,0.000257489,2.574885281
M2,B,1,24,a ,0.4573,8/5/2025,2.69196,9/3/2025,63.61725116,5.31,1,3.42386,0.4573,58.30725116,0.2746,0.004709534,29,0.000162398,1.623977349
M2,B,1,24,b ,0.45029,8/5/2025,2.69267,9/3/2025,63.61725116,5.31,1,3.49529,0.45029,58.30725116,0.35233,0.006042645,29,0.000208367,2.083670573
M2,B,1,24,c,0.45488,8/5/2025,2.66973,9/3/2025,63.61725116,5.31,1,3.44999,0.45488,58.30725116,0.32538,0.005580438,29,0.000192429,1.924288965
M2,B,1,48,a ,0.44746,8/5/2025,2.69685,9/3/2025,63.61725116,5.31,1,3.51152,0.44746,58.30725116,0.36721,0.006297844,29,0.000217167,2.171670511
M2,B,1,48,b ,0.45734,8/5/2025,2.68164,9/3/2025,63.61725116,5.31,1,3.50205,0.45734,58.30725116,0.36307,0.006226841,29,0.000214719,2.147186657
M2,B,1,48,c,0.4525,8/5/2025,2.6949,9/3/2025,63.61725116,5.31,1,3.63741,0.4525,58.30725116,0.49001,0.008403929,29,0.000289791,2.897906558
M2,B,2,0.5,a ,0.44256,8/5/2025,2.69989,9/3/2025,63.61725116,5.31,0.5,3.4925,0.22128,26.49862558,0.57133,0.021560741,29,0.000743474,7.434738237
M2,B,2,0.5,b ,0.45141,8/5/2025,2.73277,9/3/2025,63.61725116,5.31,1,3.52675,0.45141,58.30725116,0.34257,0.005875256,29,0.000202595,2.025950184
M2,B,2,0.5,c,0.44349,8/5/2025,2.72914,9/3/2025,63.61725116,5.31,0.25,3.20485,0.1108725,10.59431279,0.3648375,0.034437109,29,0.001187487,11.87486503
M2,B,2,2,a ,0.45018,8/5/2025,2.71593,9/3/2025,63.61725116,5.31,1,3.56365,0.45018,58.30725116,0.39754,0.00681802,29,0.000235104,2.351041352
M2,B,2,2,b ,0.44437,8/5/2025,2.70765,9/3/2025,63.61725116,5.31,1,3.43526,0.44437,58.30725116,0.28324,0.004857715,29,0.000167507,1.675074087
M2,B,2,2,c,0.45129,8/5/2025,2.69506,9/3/2025,63.61725116,5.31,1,3.32839,0.45129,58.30725116,0.18204,0.003122082,29,0.000107658,1.076579886
M2,B,2,6,a ,0.45618,8/5/2025,2.68552,9/3/2025,63.61725116,5.31,1,4.21805,0.45618,58.30725116,1.07635,0.018459968,29,0.000636551,6.365506263
M2,B,2,6,b ,0.44967,8/5/2025,2.69575,9/3/2025,63.61725116,5.31,1,3.96469,0.44967,58.30725116,0.81927,0.014050911,29,0.000484514,4.845141744
M2,B,2,6,c,0.45631,8/5/2025,2.72364,9/3/2025,63.61725116,5.31,1,4.06949,0.45631,58.30725116,0.88954,0.015256078,29,0.000526072,5.260716719
M2,B,2,12,a ,0.44982,8/5/2025,2.68045,9/3/2025,63.61725116,5.31,1,3.54276,0.44982,58.30725116,0.41249,0.00707442,29,0.000243946,2.439455269
M2,B,2,12,b ,0.45347,8/5/2025,2.67075,9/3/2025,63.61725116,5.31,1,3.81111,0.45347,58.30725116,0.68689,0.011780524,29,0.000406225,4.062249823
M2,B,2,12,c,0.45003,8/5/2025,2.69383,9/3/2025,63.61725116,5.31,1,3.73555,0.45003,58.30725116,0.59169,0.010147794,29,0.000349924,3.499239467
M2,B,2,24,a ,0.45665,8/5/2025,2.68661,9/3/2025,63.61725116,5.31,1,3.52346,0.45665,58.30725116,0.3802,0.00652063,29,0.000224849,2.248493038
M2,B,2,24,b ,0.45194,8/5/2025,2.6965,9/3/2025,63.61725116,5.31,1,3.58505,0.45194,58.30725116,0.43661,0.007488091,29,0.00025821,2.582100329
M2,B,2,24,c,0.4456,8/5/2025,2.66716,9/3/2025,63.61725116,5.31,1,3.51276,0.4456,58.30725116,0.4,0.00686021,29,0.000236559,2.365589729
M2,B,2,48,a ,0.45315,8/5/2025,2.66142,9/3/2025,63.61725116,5.31,1,3.72459,0.45315,58.30725116,0.61002,0.010462164,29,0.000360764,3.607642617
M2,B,2,48,b ,0.44183,8/5/2025,2.66504,9/3/2025,63.61725116,5.31,1,3.52271,0.44183,58.30725116,0.41584,0.007131875,29,0.000245927,2.459267082
M2,B,2,48,c,0.45193,8/5/2025,2.67185,9/3/2025,63.61725116,5.31,1,3.68054,0.45193,58.30725116,0.55676,0.009548727,29,0.000329266,3.292664344
M2,B,,,E1 ,0.42215,NA,2.74485,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M2,B,,,E2 ,0.45383,NA,2.73369,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M2,B,,,E3,0.45371,NA,2.7561,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M2,B,,,E4 ,0.44984,NA,2.71994,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M2 ,G,1,0.5,a,0.44514,8/6/2025,2.68751,9/6/2025,63.61725116,5.31,0.5,4.4427,0.22257,26.49862558,1.53262,0.057837717,31,0.001865733,18.65732798
M2 ,G,1,0.5,b ,0.45186,8/6/2025,2.65881,9/6/2025,63.61725116,5.31,1,4.35966,0.45186,58.30725116,1.24899,0.021420835,31,0.000690995,6.909946739
M2 ,G,1,0.5,c,0.45736,8/6/2025,2.6764,9/6/2025,63.61725116,5.31,1,4.6319,0.45736,58.30725116,1.49814,0.025693888,31,0.000828835,8.288351073
M2 ,G,1,2,a,0.45318,8/6/2025,2.669,9/6/2025,63.61725116,5.31,1,3.59707,0.45318,58.30725116,0.47489,0.008144613,31,0.000262729,2.627294539
M2 ,G,1,2,b ,0.45638,8/6/2025,2.67718,9/6/2025,63.61725116,5.31,1,7.91135,0.45638,58.30725116,4.77779,0.081941609,31,0.002643278,26.43277723
M2 ,G,1,2,c,0.4524,8/6/2025,2.67565,9/6/2025,63.61725116,2.655,1,10.35836,0.4524,60.96225116,7.23031,0.118603068,31,0.003825905,38.25905409
M2 ,G,1,6,a,0.45703,8/6/2025,2.68386,9/6/2025,63.61725116,2.655,1,5.0293,0.45703,60.96225116,1.88841,0.03097671,31,0.000999249,9.992487228
M2 ,G,1,6,b ,0.45208,8/6/2025,2.68726,9/6/2025,63.61725116,5.31,1,3.96535,0.45208,58.30725116,0.82601,0.014166506,31,0.000456984,4.569840516
M2 ,G,1,6,c,0.4571,8/6/2025,2.66818,9/6/2025,63.61725116,5.31,1,4.64772,0.4571,58.30725116,1.52244,0.026110646,31,0.000842279,8.422789064
M2 ,G,1,12,a,0.45782,8/6/2025,2.66796,9/6/2025,63.61725116,5.31,1,4.60152,0.45782,58.30725116,1.47574,0.025309717,31,0.000816442,8.164424695
M2 ,G,1,12,b ,0.45168,8/6/2025,2.67202,9/6/2025,63.61725116,5.31,1,4.46683,0.45168,58.30725116,1.34313,0.023035385,31,0.000743077,7.430769472
M2 ,G,1,12,c,0.45783,8/6/2025,2.67406,9/6/2025,63.61725116,5.31,1,4.34154,0.45783,58.30725116,1.20965,0.020746133,31,0.00066923,6.692301037
M2 ,G,1,24,a ,0.4513,8/6/2025,2.69528,9/6/2025,63.61725116,5.31,1,3.80414,0.4513,58.30725116,0.65756,0.0112775,31,0.00036379,3.637903088
M2 ,G,1,24,b ,0.4563,8/6/2025,2.70407,9/6/2025,63.61725116,5.31,1,3.64397,0.4563,58.30725116,0.4836,0.008293994,31,0.000267548,2.675481984
M2 ,G,1,24,c,0.45342,8/6/2025,2.73005,9/6/2025,63.61725116,5.31,1,3.75926,0.45342,58.30725116,0.57579,0.009875101,31,0.000318552,3.185516483
M2 ,G,1,48,a,0.4584,8/6/2025,2.66784,9/6/2025,63.61725116,5.31,1,3.55942,0.4584,58.30725116,0.43318,0.007429265,31,0.000239654,2.396536985
M2 ,G,1,48,b ,0.45936,8/6/2025,2.70595,9/6/2025,63.61725116,5.31,1,3.56777,0.45936,58.30725116,0.40246,0.006902401,31,0.000222658,2.226580809
M2 ,G,1,48,c,0.45209,8/6/2025,2.67659,9/6/2025,63.61725116,5.31,1,3.45662,0.45209,58.30725116,0.32794,0.005624343,31,0.00018143,1.814304305
M2 ,G,2,0.5,a,0.45796,8/6/2025,2.67488,9/6/2025,63.61725116,5.31,0,118.8,0,-5.31,116.12512,-21.86913748,31,-0.705456048,-7054.560476
M2 ,G,2,0.5,b ,0.45434,8/6/2025,2.6681,9/6/2025,63.61725116,5.31,1,101.3795,0.45434,58.30725116,98.25706,1.685160217,31,0.054360007,543.6000699
M2 ,G,2,0.5,c,0.45937,8/6/2025,2.69331,9/6/2025,63.61725116,5.31,1,77.0939,0.45937,58.30725116,73.94122,1.268130782,31,0.040907445,409.0744458
M2 ,G,2,2,a,0.45446,8/6/2025,2.67221,9/6/2025,63.61725116,5.31,1,99.9259,0.45446,58.30725116,96.79923,1.660157666,31,0.053553473,535.534731
M2 ,G,2,2,b ,0.45948,8/6/2025,2.6869,9/6/2025,63.61725116,5.31,1,113.16,0.45948,58.30725116,110.01362,1.886791399,31,0.060864239,608.6423868
M2 ,G,2,2,c,0.45696,8/6/2025,2.67332,9/6/2025,63.61725116,5.31,1,149.47,0.45696,58.30725116,146.33972,2.509803105,31,0.08096139,809.6139048
M2 ,G,2,6,a,0.45597,8/6/2025,2.66126,9/6/2025,63.61725116,5.31,1,5.63247,0.45597,58.30725116,2.51524,0.043137688,31,0.001391538,13.91538318
M2 ,G,2,6,b ,0.45681,8/6/2025,2.71372,9/6/2025,63.61725116,5.31,1,5.41078,0.45681,58.30725116,2.24025,0.038421465,31,0.001239402,12.39402091
M2 ,G,2,6,c,0.45374,8/6/2025,2.70322,9/6/2025,63.61725116,5.31,1,5.12377,0.45374,58.30725116,1.96681,0.033731825,31,0.001088123,10.88123391
M2 ,G,2,12,a,0.45594,8/6/2025,2.68196,9/6/2025,63.61725116,5.31,1,3.84379,0.45594,58.30725116,0.70589,0.012106384,31,0.000390529,3.905285313
M2 ,G,2,12,b ,0.45634,8/6/2025,2.69858,9/6/2025,63.61725116,5.31,1,3.8944,0.45634,58.30725116,0.73948,0.012682471,31,0.000409112,4.091119556
M2 ,G,2,12,c,0.45488,8/6/2025,2.70897,9/6/2025,63.61725116,5.31,1,3.92762,0.45488,58.30725116,0.76377,0.013099057,31,0.00042255,4.225502222
M2 ,G,2,24,a ,0.4555,8/6/2025,2.71391,9/6/2025,63.61725116,5.31,1,3.43589,0.4555,58.30725116,0.26648,0.004570272,31,0.000147428,1.474281305
M2 ,G,2,24,b ,0.45434,8/6/2025,2.68773,9/6/2025,63.61725116,5.31,1,3.37965,0.45434,58.30725116,0.23758,0.004074622,31,0.000131439,1.314394147
M2 ,G,2,24,c,0.45622,8/6/2025,2.73862,9/6/2025,63.61725116,5.31,1,3.43764,0.45622,58.30725116,0.2428,0.004164148,31,0.000134327,1.343273419
M2 ,G,2,48,a,0.4559,8/6/2025,2.7107,9/6/2025,63.61725116,5.31,1,3.39147,0.4559,58.30725116,0.22487,0.003856639,31,0.000124408,1.244076993
M2 ,G,2,48,b ,0.45714,8/6/2025,2.74706,9/6/2025,63.61725116,5.31,1,3.38677,0.45714,58.30725116,0.18257,0.003131171,31,0.000101006,1.010055306
M2 ,G,2,48,c,0.45704,8/6/2025,2.71914,9/6/2025,63.61725116,5.31,1,3.43026,0.45704,58.30725116,0.25408,0.004357606,31,0.000140568,1.405679203
M2 ,G,,,E-1 ,0.45168,NA,2.74113,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M2 ,G,,,E-2 ,0.45391,NA,2.72304,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M2 ,G,,,E-3 ,0.45331,NA,2.7252,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M2 ,G,,,E-4 ,0.45262,NA,2.7112,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M2 ,C,1,0.5,a,0.45387,8/7/2025,2.71427,9/5/2025,63.61725116,5.31,0,2.71356,0,-5.31,-0.00071,0.00013371,29,4.61069E-06,0.04610689
M2 ,C,1,0.5,b ,0.44626,8/7/2025,2.74453,9/5/2025,63.61725116,5.31,0,2.93708,0,-5.31,0.19255,-0.03626177,29,-0.001250406,-12.50405871
M2 ,C,1,0.5,c,0.45175,8/7/2025,2.72547,9/5/2025,63.61725116,5.31,0.75,3.18254,0.3388125,42.40293837,0.1182575,0.002788899,29,9.61689E-05,0.961689209
M2 ,C,1,2,a,0.44774,8/7/2025,2.71831,9/5/2025,63.61725116,5.31,0.25,3.07767,0.111935,10.59431279,0.247425,0.023354512,29,0.000805328,8.053279831
M2 ,C,1,2,b ,0.45093,8/7/2025,2.74593,9/5/2025,63.61725116,5.31,1,3.44034,0.45093,58.30725116,0.24348,0.00417581,29,0.000143993,1.439934468
M2 ,C,1,2,c,0.4458,8/7/2025,2.73892,9/5/2025,63.61725116,5.31,0.25,3.38361,0.11145,10.59431279,0.53324,0.050332665,29,0.001735609,17.35609149
M2 ,C,1,6,a,0.45145,8/7/2025,2.73288,9/5/2025,63.61725116,5.31,1,3.51484,0.45145,58.30725116,0.33051,0.00566842,29,0.000195463,1.954627654
M2 ,C,1,6,b ,0.44721,8/7/2025,2.68356,9/5/2025,63.61725116,5.31,0.5,3.02656,0.223605,26.49862558,0.119395,0.004505705,29,0.000155369,1.553691512
M2 ,C,1,6,c,0.44802,8/7/2025,2.68862,9/5/2025,63.61725116,5.31,0.5,3.13796,0.22401,26.49862558,0.22533,0.00850346,29,0.000293223,2.932227551
M2 ,C,1,12,a,0.45203,8/7/2025,2.69595,9/5/2025,63.61725116,5.31,1,4.26269,0.45203,58.30725116,1.11471,0.019117862,29,0.000659237,6.592366318
M2 ,C,1,12,b ,0.44824,8/7/2025,2.69967,9/5/2025,63.61725116,5.31,0.75,3.34066,0.33618,42.40293837,0.30481,0.007188417,29,0.000247876,2.478764458
M2 ,C,1,12,c,0.45023,8/7/2025,2.70464,9/5/2025,63.61725116,5.31,0.75,3.67796,0.3376725,42.40293837,0.6356475,0.014990647,29,0.000516919,5.169188776
M2 ,C,1,24,a ,0.44745,8/7/2025,2.70563,9/5/2025,63.61725116,5.31,1,3.71726,0.44745,58.30725116,0.56418,0.009675983,29,0.000333655,3.336546034
M2 ,C,1,24,b ,0.44859,8/7/2025,2.68669,9/5/2025,63.61725116,5.31,0.75,3.79141,0.3364425,42.40293837,0.7682775,0.018118497,29,0.000624776,6.247757491
